Dis_cm,ROI_TT_S,ROI_cor,ROI_cr_br,ROI_bor,ROI_br_cen,ROI_ct
1929.172588,119,5355,32,3593,1,18
2913.77506,186,4032,19,4038,9,901
2517.570102,161,5557,31,3272,4,134
2503.621721,137,4931,13,2906,6,1142
3340.619442,188,4369,23,4034,7,565
2535.222242,188,5031,51,3524,12,376
3571.509245,245,4018,31,4008,15,927
2876.979231,191,3060,15,4643,6,795
2391.813475,150,2800,22,4063,7,2106
2674.720352,172,3048,27,4757,9,1153
1868.919955,132,4910,21,3288,11,767
2883.322505,189,4054,34,4213,10,690
2649.270202,183,2354,25,5777,16,828
2272.837656,138,3543,26,5088,4,335
2403.013618,154,3700,31,3969,12,1287
3271.049689,248,3602,25,4399,30,945
2341.350322,161,4795,25,3450,10,718
2146.867825,106,4355,16,4022,5,602
3233.569748,191,3557,16,4691,13,722
1373.864386,51,6317,10,2546,0,0
2759.967883,163,3771,16,4259,10,943
3127.134695,177,4408,11,3960,10,611
